t (s);X (m);Y (m)
0;7;0
0,2;6,998881099;0,125153331
0,4;6,982104744;0,500213304
0,6;6,90956205;1,121584717
0,8;6,715502101;1,975356052
1;6,312235615;3,025835677
1,2;5,599248567;4,201001724
1,4;4,480957653;5,37782656
1,6;2,89565726;6,373003141
1,8;0,855470396;6,947529806
2;-1,508498917;6,835527121
2,2;-3,91012293;5,806112182
2,4;-5,905091302;3,758975487
2,6;-6,949767109;0,83710043
2,8;-6,574937759;-2,402122699
3;-4,753602016;-5,138411026
3,2;-1,884093372;-6,741675768
3,4;1,400859311;-6,858395818
3,6;4,376921437;-5,462834313
3,8;6,38786902;-2,86271364
